# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.867238
# nk = 757
14.8711 2.15245e-10 4872228
14.97 2.09698e-10 4531392
15.0695 2.02972e-10 4181068
15.1698 1.95321e-10 3827115
15.2709 1.88384e-10 3511752
15.3726 1.82497e-10 3240696
15.4749 1.77484e-10 2990682
15.5779 1.73258e-10 2763190
15.6816 1.68991e-10 2544444
15.786 1.6512e-10 2340936
15.8911 1.61702e-10 2149530
15.9968 1.5842e-10 1967724
16.1033 1.55552e-10 1794918
16.2104 1.5268e-10 1632468
16.3183 1.50696e-10 1477728
16.4269 1.48904e-10 1333008
16.5362 1.47547e-10 1194306
16.6462 1.46124e-10 1064754
16.757 1.45281e-10 941964
16.8685 1.4435e-10 826020
16.9806 1.44446e-10 718284
17.0936 1.45274e-10 619944
17.2072 1.46273e-10 524820
17.3216 1.46952e-10 441182
17.4366 1.48539e-10 360702
17.5525 1.49511e-10 292782
17.6693 1.53563e-10 228006
17.7861 1.57214e-10 171158
17.9035 1.60795e-10 124494
18.0221 1.66425e-10 84168
18.1408 1.70821e-10 51006
18.2586 1.807e-10 26360
18.374 1.8363e-10 9960
18.4789 1.92088e-10 1561
